Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Abandoned Sarcophagus,0.01,100,32,1.00,0.32,0.04,20,0.8,0.6,300%,0.08,20,1.6,1.4,700%,0.09,12,1.08,0.96,800%,0.11,8,0.88,0.8,1000%,0.1,8,0.8,0.72,900%,,,,,,,
Abandoned Sarcophagus,0.01,100,80,1.00,0.80,0.16,12,1.92,1.8,1500%,0.14,4,0.56,0.52,1300%,0.13,4,0.52,0.48,1200%,,,,,,,,,,,,,,,,,
Abrade,0.9,4,0,3.60,0.00,0.936,4,3.744,0.144,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.69,4,0,2.76,0.00,0.69,4,2.76,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.45,4,0,1.80,0.00,0.61,4,2.44,0.64,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.4,4,0,1.60,0.00,0.69,4,2.76,1.16,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.39,4,0,1.56,0.00,0.69,4,2.76,1.2,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.32,8,0,2.56,0.00,0.6885,8,5.508,2.948,115%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrade,0.29,12,0,3.48,0.00,0.918,8,7.344,5.024,217%,0.936,3,2.808,1.938,223%,0.782,1,0.782,0.492,170%,,,,,,,,,,,,,,,,,
Abrupt Decay,3.34,4,4,13.36,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrupt Decay,2.73,4,4,10.92,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrupt Decay,2.39,4,0,9.56,0.00,4.2,4,16.8,7.24,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrupt Decay,1.59,4,4,6.36,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrupt Decay (MM3),1.52,8,8,12.16,12.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Nauseum,0.79,4,4,3.16,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Nauseum,0.43,4,4,1.72,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Nauseum,0.38,8,8,3.04,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherflux Resevoir,0.79,4,0,3.16,0.00,1.0742,4,4.2968,1.1368,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherflux Resevoir,0.055,8,0,0.44,0.00,0.085,8,0.68,0.24,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherflux Resevoir,0.03,20,8,0.60,0.24,0.034,8,0.272,0.032,13%,0.12,4,0.48,0.36,300%,,,,,,,,,,,,,,,,,,,,,,
Aetherflux Resevoir,0.02,120,80,2.40,1.60,0.03,12,0.36,0.12,50%,0.02,4,0.08,0,0%,0.12,16,1.92,1.6,500%,0.11,8,0.88,0.72,450%,,,,,,,,,,,,
Aetherflux Resevoir,0.01,145,0,1.45,0.00,0.017,109,1.853,0.763,70%,0.0255,8,0.204,0.124,155%,0.06,16,0.96,0.8,500%,0.0935,8,0.748,0.668,835%,0.09,4,0.36,0.32,800%,,,,,,,
Aetherflux Resevoir,0.01,48,0,0.48,0.00,0.08,12,0.96,0.84,700%,0.07,4,0.28,0.24,600%,0.09,4,0.36,0.32,800%,0.1445,16,2.312,2.152,1345%,0.16,12,1.92,1.8,1500%,,,,,,,
Aetherflux Resevoir,0.01,48,0,0.48,0.00,0.17,20,3.4,3.2,1600%,0.15,8,1.2,1.12,1400%,0.19,8,1.52,1.44,1800%,0.2,4,0.8,0.76,1900%,0.255,8,2.04,1.96,2450%,,39.4878,,,,,
Aetherflux Resevoir,0.01,68,0,0.68,0.00,0.21,8,1.68,1.6,2000%,0.1275,8,1.02,0.94,1175%,0.11,12,1.32,1.2,1000%,0.14,28,3.92,3.64,1300%,0.19,12,2.28,2.16,1800%,,,,,,,
Aetherflux Resevoir,0.01,100,48,1.00,0.48,0.187,16,2.992,2.832,1770%,0.15,8,1.2,1.12,1400%,0.2125,8,1.7,1.62,2025%,0.18,12,2.16,2.04,1700%,0.2125,8,1.7,1.62,2025%,,,,,,,
Aether Hub,0.52,4,0,2.08,0.00,0.6,4,2.4,0.32,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.48,16,0,7.68,0.00,0.58,8,4.64,0.8,21%,0.61,4,2.44,0.52,27%,0.4995,4,1.998,0.078,4%,,,,,,,,,,,,,,,,,
Aether Hub,0.47,4,0,1.88,0.00,0.71,4,2.84,0.96,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.46,8,0,3.68,0.00,0.54,8,4.32,0.64,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.45,4,0,1.80,0.00,0.71,4,2.84,1.04,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.44,16,0,7.04,0.00,0.7,8,5.6,2.08,59%,0.476,8,3.808,0.288,8%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.43,12,0,5.16,0.00,0.66,4,2.64,0.92,53%,0.7,8,5.6,2.16,63%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.42,8,0,3.36,0.00,0.731,4,2.924,1.244,74%,0.255,2,0.51,-0.33,-39%,0.3995,2,0.799,-0.041,-5%,,,,,,,,,,,,,,,,,
Aether Hub,0.4,4,0,1.60,0.00,0.255,4,1.02,-0.58,-36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.39,12,0,4.68,0.00,0.527,4,2.108,0.548,35%,0.69,8,5.52,2.4,77%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.38,12,0,4.56,0.00,0.68,12,8.16,3.6,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.37,4,0,1.48,0.00,0.73,4,2.92,1.44,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.36,20,0,7.20,0.00,0.39,4,1.56,0.12,8%,0.67,4,2.68,1.24,86%,0.68,4,2.72,1.28,89%,0.7055,8,5.644,2.764,96%,,,,,,,,,,,,
Aether Hub,0.35,12,0,4.20,0.00,0.374,8,2.992,0.192,7%,0.357,4,1.428,0.028,2%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.34,20,0,6.80,0.00,0.76,8,6.08,3.36,124%,0.8245,4,3.298,1.938,143%,0.34,8,2.72,0,0%,,,,,,,,,,,,,,,,,
Aether Hub,0.33,20,0,6.60,0.00,0.58,4,2.32,1,76%,0.35,16,5.6,0.32,6%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.32,36,0,11.52,0.00,0.425,2,0.85,0.21,33%,0.39,6,2.34,0.42,22%,0.3485,8,2.788,0.228,9%,0.357,4,1.428,0.148,12%,0.34,16,5.44,0.32,6%,,,,,,,
Aether Hub,0.32,24,0,7.68,0.00,0.323,8,2.584,0.024,1%,0.357,4,1.428,0.148,12%,0.35,12,4.2,0.36,9%,,,,,,,,,,,,,,,,,
